date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:10	40245/40245	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Jan%202016%2008:30:06%20GMT	http://junaidhira.com/demo/html/tile/img/portfolio/p-2.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/portfolio/p-2.jpg	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:13	34609/34609	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Jan%202016%2008:30:44%20GMT	http://junaidhira.com/demo/html/tile/img/portfolio/p-3.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/portfolio/p-3.jpg	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:15	42544/42544	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Jan%202016%2008:31:00%20GMT	http://junaidhira.com/demo/html/tile/img/portfolio/p-5.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/portfolio/p-5.jpg	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:15	47064/47064	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Jan%202016%2008:30:20%20GMT	http://junaidhira.com/demo/html/tile/img/portfolio/p-4.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/portfolio/p-4.jpg	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:16	39384/39384	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Jan%202016%2008:29:52%20GMT	http://junaidhira.com/demo/html/tile/img/portfolio/p-6.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/portfolio/p-6.jpg	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:17	27498/27498	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jan%202016%2004:10:28%20GMT	http://junaidhira.com/demo/html/tile/img/testimonial/t-1.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/testimonial/t-1.jpg	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:19	17312/17312	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jan%202016%2004:10:28%20GMT	http://junaidhira.com/demo/html/tile/img/testimonial/t-3.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/testimonial/t-3.jpg	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:20	29555/29555	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jan%202016%2004:10:28%20GMT	http://junaidhira.com/demo/html/tile/img/testimonial/t-2.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/testimonial/t-2.jpg	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:21	32791/32791	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Oct%202015%2002:47:12%20GMT	http://junaidhira.com/demo/html/tile/img/client/c-1.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/client/c-1.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:23	19147/19147	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Oct%202015%2002:50:58%20GMT	http://junaidhira.com/demo/html/tile/img/client/c-4.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/client/c-4.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:23	29914/29914	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Oct%202015%2002:50:12%20GMT	http://junaidhira.com/demo/html/tile/img/client/c-3.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/client/c-3.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:23	41564/41564	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Oct%202015%2002:49:28%20GMT	http://junaidhira.com/demo/html/tile/img/client/c-2.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/client/c-2.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:24	16121/16121	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Oct%202015%2002:51:40%20GMT	http://junaidhira.com/demo/html/tile/img/client/c-5.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/client/c-5.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:28	21048/21048	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Oct%202015%2002:53:48%20GMT	http://junaidhira.com/demo/html/tile/img/client/c-8.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/client/c-8.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:28	20484/20484	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2015:27:38%20GMT	http://junaidhira.com/demo/html/tile/single-blog.html	D:/q/cv1/junaidhira.com/demo/html/tile/single-blog.html	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:29	37928/37928	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Oct%202015%2002:52:38%20GMT	http://junaidhira.com/demo/html/tile/img/client/c-6.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/client/c-6.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:30	44771/44771	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Oct%202015%2002:53:12%20GMT	http://junaidhira.com/demo/html/tile/img/client/c-7.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/client/c-7.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:30	19145/19145	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2010:39:15%20GMT	http://junaidhira.com/demo/html/tile/blog.html	D:/q/cv1/junaidhira.com/demo/html/tile/blog.html	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:36	84245/84245	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2020%20Nov%202014%2001:23:40%20GMT	http://junaidhira.com/demo/html/tile/js/jquery-2.1.1.min.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/jquery-2.1.1.min.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:37	7962/7962	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2013%20May%202016%2016:27:14%20GMT	http://junaidhira.com/demo/html/tile/js/animatescroll.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/animatescroll.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:46	122912/122912	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2013%20Sep%202015%2012:46:50%20GMT	http://junaidhira.com/demo/html/tile/js/materialize.min.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/materialize.min.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:47	2605/2605	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2021%20Oct%202014%2011:04:00%20GMT	http://junaidhira.com/demo/html/tile/js/device.min.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/device.min.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:47	151304/151304	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Apr%202016%2016:15:34%20GMT	http://junaidhira.com/demo/html/tile/img/blog/b-1.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/blog/b-1.jpg	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:48	6949/6949	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2015%20Aug%202014%2014:29:14%20GMT	http://junaidhira.com/demo/html/tile/js/imagesloaded.pkgd.min.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/imagesloaded.pkgd.min.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:48	136324/136324	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Apr%202016%2016:16:02%20GMT	http://junaidhira.com/demo/html/tile/img/blog/b-2.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/blog/b-2.jpg	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:49	15965/15965	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2021%20Oct%202014%2011:04:00%20GMT	http://junaidhira.com/demo/html/tile/js/isotope.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/isotope.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:51	46281/46281	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2020%20Feb%202015%2017:00:42%20GMT	http://junaidhira.com/demo/html/tile/js/magnific-popup.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/magnific-popup.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:52	28315/28315	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2006%20May%202015%2012:42:34%20GMT	http://junaidhira.com/demo/html/tile/js/masonry.pkgd.min.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/masonry.pkgd.min.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:52	4568/4568	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2021%20Oct%202014%2011:04:00%20GMT	http://junaidhira.com/demo/html/tile/js/smoothscroll.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/smoothscroll.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:52	52797/52797	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2012%20May%202014%2017:54:58%20GMT	http://junaidhira.com/demo/html/tile/js/owl.carousel.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/owl.carousel.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:53	6055/6055	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2015%20Sep%202015%2014:51:14%20GMT	http://junaidhira.com/demo/html/tile/js/validator.min.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/validator.min.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:53	8044/8044	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2021%20Oct%202014%2013:04:00%20GMT	http://junaidhira.com/demo/html/tile/js/waypoints.min.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/waypoints.min.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:54	13513/13513	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2024%20Sep%202014%2016:51:34%20GMT	http://junaidhira.com/demo/html/tile/js/wow.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/wow.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:54	14023/14023	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2024%20Sep%202017%2017:58:16%20GMT	http://junaidhira.com/demo/html/tile/js/custom.js	D:/q/cv1/junaidhira.com/demo/html/tile/js/custom.js	(from http://junaidhira.com/demo/html/tile/intro.html)
21:57:00	251090/251090	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Apr%202016%2016:16:40%20GMT	http://junaidhira.com/demo/html/tile/img/blog/b-3.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/blog/b-3.jpg	(from http://junaidhira.com/demo/html/tile/intro.html)
21:57:05	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2009%20Jan%202016%2013:37:34%20GMT	http://junaidhira.com/demo/html/tile/font/font-awesome/fonts/fontawesome-webfont.eot?v=4.5.0	D:/q/cv1/junaidhira.com/demo/html/tile/font/font-awesome/fonts/fontawesome-webfont3295.eot	(from http://junaidhira.com/demo/html/tile/font/font-awesome/css/font-awesome.min.css)
21:57:05	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2009%20Jan%202016%2013:37:34%20GMT	http://junaidhira.com/demo/html/tile/font/font-awesome/fonts/fontawesome-webfont.eot?	D:/q/cv1/junaidhira.com/demo/html/tile/font/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://junaidhira.com/demo/html/tile/font/font-awesome/css/font-awesome.min.css)
21:57:05	66624/66624	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20Jan%202016%2013:37:34%20GMT	http://junaidhira.com/demo/html/tile/font/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0	D:/q/cv1/junaidhira.com/demo/html/tile/font/font-awesome/fonts/fontawesome-webfont3295.woff2	(from http://junaidhira.com/demo/html/tile/font/font-awesome/css/font-awesome.min.css)
21:57:13	83588/83588	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20Jan%202016%2013:37:34%20GMT	http://junaidhira.com/demo/html/tile/font/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0	D:/q/cv1/junaidhira.com/demo/html/tile/font/font-awesome/fonts/fontawesome-webfont3295.woff	(from http://junaidhira.com/demo/html/tile/font/font-awesome/css/font-awesome.min.css)
21:57:22	365616/365616	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2009%20Jan%202016%2013:37:34%20GMT	http://junaidhira.com/demo/html/tile/font/font-awesome/fonts/fontawesome-webfont.svg?v=4.5.0	D:/q/cv1/junaidhira.com/demo/html/tile/font/font-awesome/fonts/fontawesome-webfont3295.svg	(from http://junaidhira.com/demo/html/tile/font/font-awesome/css/font-awesome.min.css)
21:57:22	101968/101968	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/material-design-icons/Material-Design-Icons.woff	D:/q/cv1/junaidhira.com/demo/html/tile/font/material-design-icons/Material-Design-Icons.woff	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:22	101892/101892	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/material-design-icons/Material-Design-Icons.ttf	D:/q/cv1/junaidhira.com/demo/html/tile/font/material-design-icons/Material-Design-Icons.ttf	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:22	48524/48524	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/roboto/Roboto-Thin.woff2	D:/q/cv1/junaidhira.com/demo/html/tile/font/roboto/Roboto-Thin.woff2	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:31	61628/61628	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/roboto/Roboto-Thin.woff	D:/q/cv1/junaidhira.com/demo/html/tile/font/roboto/Roboto-Thin.woff	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:33	127584/127584	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/roboto/Roboto-Thin.ttf	D:/q/cv1/junaidhira.com/demo/html/tile/font/roboto/Roboto-Thin.ttf	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:33	49236/49236	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/roboto/Roboto-Regular.woff2	D:/q/cv1/junaidhira.com/demo/html/tile/font/roboto/Roboto-Regular.woff2	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:34	126792/126792	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/roboto/Roboto-Light.ttf	D:/q/cv1/junaidhira.com/demo/html/tile/font/roboto/Roboto-Light.ttf	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:40	61736/61736	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/roboto/Roboto-Regular.woff	D:/q/cv1/junaidhira.com/demo/html/tile/font/roboto/Roboto-Regular.woff	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:42	50224/50224	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/roboto/Roboto-Medium.woff2	D:/q/cv1/junaidhira.com/demo/html/tile/font/roboto/Roboto-Medium.woff2	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:44	62980/62980	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/roboto/Roboto-Medium.woff	D:/q/cv1/junaidhira.com/demo/html/tile/font/roboto/Roboto-Medium.woff	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:46	127488/127488	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/roboto/Roboto-Medium.ttf	D:/q/cv1/junaidhira.com/demo/html/tile/font/roboto/Roboto-Medium.ttf	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:46	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2022%20Jan%202018%2016:57:45%20GMT	http://junaidhira.com/demo/html/tile/img/grabbing.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/grabbing.51.delayed	(from http://junaidhira.com/demo/html/tile/css/owl.carousel.css)
21:57:47	49976/49976	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/roboto/Roboto-Bold.woff2	D:/q/cv1/junaidhira.com/demo/html/tile/font/roboto/Roboto-Bold.woff2	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:49	62876/62876	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Sep%202015%2012:46:48%20GMT	http://junaidhira.com/demo/html/tile/font/roboto/Roboto-Bold.woff	D:/q/cv1/junaidhira.com/demo/html/tile/font/roboto/Roboto-Bold.woff	(from http://junaidhira.com/demo/html/tile/css/materialize.min.css)
21:57:53	40034/40034	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Jan%202016%2009:04:42%20GMT	http://junaidhira.com/demo/html/tile/img/portfolio/large/pl-2.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/portfolio/large/pl-2.jpg	(from http://junaidhira.com/demo/html/tile/single-portfolio.html)
21:57:54	52754/52754	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Jan%202016%2009:04:14%20GMT	http://junaidhira.com/demo/html/tile/img/portfolio/large/pl-1.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/portfolio/large/pl-1.jpg	(from http://junaidhira.com/demo/html/tile/single-portfolio.html)
21:57:58	27498/27498	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jan%202016%2004:10:28%20GMT	http://junaidhira.com/demo/html/tile/img/blog/commenter/c-1.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/blog/commenter/c-1.jpg	(from http://junaidhira.com/demo/html/tile/single-blog.html)
21:57:59	74281/74281	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Jan%202016%2009:08:38%20GMT	http://junaidhira.com/demo/html/tile/img/portfolio/large/pl-3.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/portfolio/large/pl-3.jpg	(from http://junaidhira.com/demo/html/tile/single-portfolio.html)
21:57:59	29555/29555	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jan%202016%2004:10:28%20GMT	http://junaidhira.com/demo/html/tile/img/blog/commenter/c-2.jpg	D:/q/cv1/junaidhira.com/demo/html/tile/img/blog/commenter/c-2.jpg	(from http://junaidhira.com/demo/html/tile/single-blog.html)
